id, time, nodeaddr, appeui, gwaddr, modulation, datarate, snr, rssi, freq, lat, lon, alt, accuracy, hdop, sats, provider, user_agent
147851762, 2020-04-11 13:10:52, rfsee_drivetest_unit_4, rfsee_ttnmapper, 1DEE105EAAF5E3B3, LORA, SF9BW125, -5.20, -105.00, 868.500, 52.066449, 5.130047, -15.0, 0.00, 2.5, 0, hdop, null
147851730, 2020-04-11 13:10:42, rfsee_drivetest_unit_4, rfsee_ttnmapper, 0000024B08030954, LORA, SF9BW125, -11.20, -117.00, 867.700, 52.066449, 5.130047, -15.0, 0.00, 2.5, 0, hdop, null
147851731, 2020-04-11 13:10:42, rfsee_drivetest_unit_4, rfsee_ttnmapper, 0000024B080E0FFD, LORA, SF9BW125, -7.50, -120.00, 867.700, 52.066449, 5.130047, -15.0, 0.00, 2.5, 0, hdop, null
147851689, 2020-04-11 13:10:31, rfsee_drivetest_unit_4, rfsee_ttnmapper, 0000024B080E0FFD, LORA, SF9BW125, -6.00, -119.00, 867.700, 52.066449, 5.129983, -14.0, 0.00, 1.4, 0, hdop, null
147851629, 2020-04-11 13:10:11, rfsee_drivetest_unit_4, rfsee_ttnmapper, 0000024B080E015D, LORA, SF9BW125, -10.50, -113.00, 867.100, 52.066192, 5.130540, -18.0, 0.00, 1.7, 0, hdop, null
147851555, 2020-04-11 13:09:50, rfsee_drivetest_unit_4, rfsee_ttnmapper, 0000024B080E015D, LORA, SF9BW125, -9.50, -107.00, 867.500, 52.065172, 5.130004, -18.0, 0.00, 1.4, 0, hdop, null
147851501, 2020-04-11 13:09:40, rfsee_drivetest_unit_4, rfsee_ttnmapper, 0000024B080E015D, LORA, SF9BW125, -11.50, -119.00, 867.100, 52.065215, 5.129339, -17.0, 0.00, 1.6, 0, hdop, null
147851455, 2020-04-11 13:09:30, rfsee_drivetest_unit_4, rfsee_ttnmapper, 0000024B080E0FFD, LORA, SF9BW125, -4.80, -117.00, 867.700, 52.064647, 5.129124, -14.0, 0.00, 2.5, 0, hdop, null
147851352, 2020-04-11 13:08:59, rfsee_drivetest_unit_4, rfsee_ttnmapper, 0000024B08030954, LORA, SF9BW125, -10.50, -114.00, 867.300, 52.064636, 5.126700, -4.0, 0.00, 1.7, 0, hdop, null
147851365, 2020-04-11 13:08:59, rfsee_drivetest_unit_4, rfsee_ttnmapper, 0000024B080E015D, LORA, SF9BW125, -9.00, -115.00, 867.300, 52.064636, 5.126700, -4.0, 0.00, 1.7, 0, hdop, null
147851333, 2020-04-11 13:08:48, rfsee_drivetest_unit_4, rfsee_ttnmapper, 0000024B08030919, LORA, SF9BW125, -12.00, -119.00, 867.100, 52.064636, 5.126700, -5.0, 0.00, 1.7, 0, hdop, null
147851334, 2020-04-11 13:08:48, rfsee_drivetest_unit_4, rfsee_ttnmapper, 0000024B08030954, LORA, SF9BW125, -6.50, -117.00, 867.100, 52.064636, 5.126700, -5.0, 0.00, 1.7, 0, hdop, null
147851335, 2020-04-11 13:08:48, rfsee_drivetest_unit_4, rfsee_ttnmapper, 0000024B080E0FFD, LORA, SF9BW125, -3.20, -117.00, 867.100, 52.064636, 5.126700, -5.0, 0.00, 1.7, 0, hdop, null
147850962, 2020-04-11 13:07:08, rfsee_drivetest_unit_4, rfsee_ttnmapper, 0000024B080E0FFD, LORA, SF9BW125, -1.50, -119.00, 867.900, 52.065762, 5.126142, -6.0, 0.00, 1.4, 0, hdop, null
147850963, 2020-04-11 13:07:08, rfsee_drivetest_unit_4, rfsee_ttnmapper, 0000024B08030954, LORA, SF9BW125, -12.20, -117.00, 867.900, 52.065762, 5.126142, -6.0, 0.00, 1.4, 0, hdop, null
147850923, 2020-04-11 13:06:57, rfsee_drivetest_unit_4, rfsee_ttnmapper, 0000024B080E0FFD, LORA, SF9BW125, -8.20, -112.00, 867.100, 52.065773, 5.126142, -3.0, 0.00, 1.4, 0, hdop, null
147850888, 2020-04-11 13:06:47, rfsee_drivetest_unit_4, rfsee_ttnmapper, 0000024B080E0FFD, LORA, SF9BW125, -7.50, -118.00, 868.100, 52.065805, 5.126185, 18.0, 0.00, 1.2, 0, hdop, null
147850783, 2020-04-11 13:06:16, rfsee_drivetest_unit_4, rfsee_ttnmapper, 0000024B080E0FFD, LORA, SF9BW125, 2.20, -123.00, 867.900, 52.066782, 5.127043, -15.0, 0.00, 1.7, 0, hdop, null
147850701, 2020-04-11 13:05:55, rfsee_drivetest_unit_4, rfsee_ttnmapper, 0000024B08030954, LORA, SF9BW125, 4.20, -115.00, 867.100, 52.069925, 5.130905, -13.0, 0.00, 1.4, 0, hdop, null
147850657, 2020-04-11 13:05:45, rfsee_drivetest_unit_4, rfsee_ttnmapper, 0000024B08030919, LORA, SF9BW125, -7.00, -119.00, 867.300, 52.071331, 5.133072, -12.0, 0.00, 1.4, 0, hdop, null
147850658, 2020-04-11 13:05:45, rfsee_drivetest_unit_4, rfsee_ttnmapper, 0000024B08030954, LORA, SF9BW125, 3.80, -114.00, 867.300, 52.071331, 5.133072, -12.0, 0.00, 1.4, 0, hdop, null
147850623, 2020-04-11 13:05:35, rfsee_drivetest_unit_4, rfsee_ttnmapper, 0000024B08030954, LORA, SF9BW125, -1.20, -117.00, 867.900, 52.072479, 5.135604, -10.0, 0.00, 1.4, 0, hdop, null
147850541, 2020-04-11 13:05:14, rfsee_drivetest_unit_4, rfsee_ttnmapper, 0000024B080E0FFD, LORA, SF9BW125, 9.00, -103.00, 868.100, 52.075558, 5.140068, -12.0, 0.00, 1.2, 0, hdop, null
147850503, 2020-04-11 13:05:04, rfsee_drivetest_unit_4, rfsee_ttnmapper, 0000024B080E0FFD, LORA, SF9BW125, 6.50, -109.00, 868.100, 52.077360, 5.141312, -12.0, 0.00, 1.2, 0, hdop, null
147850445, 2020-04-11 13:04:43, rfsee_drivetest_unit_4, rfsee_ttnmapper, 0000024B080E0FFD, LORA, SF9BW125, 8.50, -103.00, 867.900, 52.081233, 5.144059, -14.0, 0.00, 1.2, 0, hdop, null
